time_s,T_ring_bulk_C,T_steel_bulk_C,T_surface_peak_C,mu_effective,Q_fric_W,wear_rate_m_per_s,wear_depth_m,tau_fric_Nm,phi_rel_dot_rad_per_s
46.0,105.74190460813045,106.7754968653426,337.37563621312006,0.38384114085300663,106.05049105943493,4.3356038607669496e-11,1.3500080877743224e-09,72.54597562121825,1.4618383742352936
46.5,105.7932652053521,106.77425208067366,237.164522253183,0.21769581153458736,141.11202591360438,4.6077500027008244e-11,1.3730468377878265e-09,41.14450838003701,3.4296685382701235
47.0,105.74569535523092,106.76556374279536,281.100430375781,0.29058100078034893,94.46514877149289,3.231144277563086e-11,1.3892025591756419e-09,54.91980914748595,1.7200560278315753
47.5,105.55442229628092,106.74007652884994,139.1918791023193,0.25727890777949347,11.705559196131047,2.1437385002391152e-12,1.3902744284257614e-09,48.625713570324265,0.24072776184974734
48.0,105.5359536358412,106.72665828960746,333.9132259404304,0.3784448497155024,98.83757549224416,3.980457356607204e-11,1.4101767152087975e-09,71.52607659622994,1.3818397456663207
48.5,105.57073680367299,106.71979752440974,239.3563274373253,0.22169661293583484,134.032642070028,4.368491072424343e-11,1.4320191705709192e-09,41.900659844872784,3.1988193638537425
49.0,105.49824365913426,106.70398881737677,281.41338528050915,0.2915096526978037,81.04290027477296,2.76998070424815e-11,1.44586907409216e-09,55.0953243598849,1.470957857429016
49.5,105.29014448283402,106.6713565851657,107.29307051749801,0.2591960815737622,0.6970018393311621,1.1977707740960825e-13,1.4459289626308648e-09,48.52181359376403,0.014364711203225512
50.0,105.24094904912432,106.64871696991518,330.23568355077384,0.41137761237609677,78.29632301613431,2.8127258543652836e-11,1.4599925919026912e-09,77.75036873908229,1.0070218866599097
50.5,105.29628724079333,106.63718930009428,240.34175118635025,0.22378435381027878,140.50709591163104,4.5703326699930374e-11,1.4828442552526564e-09,42.29524287014269,3.322054358288569
51.0,105.23838291324647,106.61718128366175,279.57427459978385,0.28889267160234816,86.37243636912068,2.936389343943285e-11,1.4975262019723728e-09,54.6007149328438,1.5818920407059602
51.5,105.04370052098726,106.58103950926848,125.0692432060153,0.2582367559850955,6.968724677549495,1.369295701896748e-12,1.4982108498233213e-09,43.996788403540435,0.15839166744699754
